"id","name","name_norm","homepage_url","homepage_host","homepage_url_status","homepage_checked_at","homepage_last_status_code","homepage_fail_count","recruits_url","page_type","post_type","hiring","recruits_url_status","recruits_url_score","external_job_site","ceo_name","bizr_no","stock_code","dart_corp_code","dart_modify_date","est_dt","acc_mt","swdb_fin_year","industry","address","region","source_meta","created_at","updated_at"
"1","앤비전","","https://www.envision.co.kr/ko/main.asp",".co.kr","alive","2026-03-23T16:38:00.939043","200","0","https://www.envision.co.kr/ko/envision/recruit.asp","listing","text","False","CONFIRMED","","","조지현","","","","","","","2024","","강원특별자치도 강릉시 과학단지로 106-77 (대전동)","강원","{""sources"": {""swdb_csv"": {""fin_year_raw"": ""2024"", ""last_seen_at"": ""2026-02-26T07:07:39.805909"", ""raw_homepage"": ""http://www.gitt .co.kr""}}}","2025-11-09T22:06:07.082029","2026-02-26T07:07:39.805964"
"2","정보와기술(주)","","http://www.lgit.co.kr/","lgit.co.kr","alive","2026-03-23T16:38:01.033931","200","0","http://www.lgit.co.kr/bbs/board.php?bo_table=hire&wr_id=12","listing","image","False","CONFIRMED","","","이충근","","","","","","","2024","","서울특별시 금천구 디지털로9길 68, 1806 1807 1808 1809 1810호 (가산동,대륭포스트5차)","서울특별시","{""sources"": {""swdb_csv"": {""fin_year_raw"": ""2024"", ""last_seen_at"": ""2026-02-26T07:07:14.238630"", ""raw_homepage"": ""http://www.lgit.co.kr""}}}","2025-11-09T22:06:07.086397","2026-02-26T07:07:14.238685"
"3","이노시스아이티","","http://www.innosysit.co.kr/","ysit.co.kr","alive","2026-03-23T16:38:01.082575","200","0","http://www.innosysit.co.kr/homepage/index.html","main","text","False","CONFIRMED","","","김한수","","","","","","","2024","","서울특별시 영등포구 여의대방로65길 17 (여의도동, 서린빌딩 411호~412호)","서울특별시","{""sources"": {""swdb_csv"": {""fin_year_raw"": ""2024"", ""last_seen_at"": ""2026-02-26T07:07:03.147737"", ""raw_homepage"": ""www.ysit.co.kr""}}}","2025-11-09T22:06:07.092381","2026-02-26T07:07:03.147789"
"4","이노솔루텍","","http://www.innost.co.kr/","innost.co.kr","alive","2026-03-23T16:38:01.217131","200","0","http://www.innost.co.kr/kor/careers/menu_04.html","listing","text","False","CONFIRMED","","","김영일","","","","","","","2024","","대전광역시 유성구 원신흥로 122-11, 3층(원신흥동, 명경프라자II)","대전광역시","{""sources"": {""swdb_csv"": {""fin_year_raw"": ""2024"", ""last_seen_at"": ""2026-02-26T07:07:54.625007"", ""raw_homepage"": ""www.innost.co.kr""}}}","2025-11-09T22:06:07.094833","2026-02-26T07:07:54.625074"
"5","(주)오션정보기술","","http://ocean-it.co.kr/index.html","n-it.co.kr","alive","2026-03-23T16:38:01.246211","200","0","http://ocean-it.co.kr/index.html","external","external_link","False","CONFIRMED","","","박은영","","","","","","","2024","","인천광역시 연수구 송도과학로 56, 504호(송도동, 송도테크노파크비티센타)","인천","{""sources"": {""swdb_csv"": {""fin_year_raw"": ""2024"", ""last_seen_at"": ""2026-02-26T07:07:10.844254"", ""raw_homepage"": ""http://n-it.co.kr""}}}","2025-11-09T22:06:07.097342","2026-02-26T07:07:10.844307"
"6","뉴로센스","","http://www.neurosense.co.kr","","alive","2026-03-23T16:38:01.298883","200","0","http://www.neurosense.co.kr/kor/recruitement/index.html","listing","text","False","","","","","","","","","","","","","","","","2025-11-09T22:06:07.099752","2025-11-10T04:56:14.550639"
"7","아라드네트웍스","","https://www.aradnetworks.com/?lang=","","alive","2026-03-23T16:38:01.365480","200","0","https://www.aradnetworks.com/sub/sub0105.php","listing","text","False","CONFIRMED","","","","","","","","","","","","","","","2025-11-09T22:06:07.102131","2025-11-10T04:56:14.553272"
"8","소올아이티","","http://soarit.net/index.php","soarit.net","alive","2026-03-23T16:38:01.459994","200","0","http://soarit.net/sub/sub04_03.php","listing","text","False","CONFIRMED","","","허성일","","","","","","","2024","","서울특별시 금천구 가산디지털1로 16, 5층 519호(가산동, 에이피타워)","서울특별시","{""sources"": {""swdb_csv"": {""fin_year_raw"": ""2024"", ""last_seen_at"": ""2026-02-26T07:07:42.609877"", ""raw_homepage"": ""http://www.soarit.net/""}}}","2025-11-09T22:06:07.104469","2026-02-26T07:07:42.609935"
"9","진네트웍스","","http://jinnetworks.com/","jinnetworks.com","alive","2026-03-23T16:38:04.161694","200","0","https://jinnetworks.com/about-jin-3/","listing","text","False","CONFIRMED","","","이호진","","","","","","","2024","","서울특별시 금천구 가산디지털2로 123, 910호 (가산동, 월드메르디앙2차)","서울특별시","{""sources"": {""swdb_csv"": {""fin_year_raw"": ""2024"", ""last_seen_at"": ""2026-02-26T07:07:58.778255"", ""raw_homepage"": ""www.jinnetworks.com""}}}","2025-11-09T22:06:07.106860","2026-02-26T07:07:58.778310"
"10","버츄얼드림","","http://www.virtualdream.co.kr/index.do","virtualdream.co.kr","alive","2026-03-23T16:38:04.212738","200","0","http://www.virtualdream.co.kr/vd.do?menu_id=0501000000","listing","text","False","CONFIRMED","","","나성인","","","","","","","2024","","서울특별시 금천구 가산디지털2로 165, 11층 1104호(가산동, 백상스타타워2차)","서울특별시","{""sources"": {""swdb_csv"": {""fin_year_raw"": ""2024"", ""last_seen_at"": ""2026-02-26T07:07:14.481433"", ""raw_homepage"": ""http://www.virtualdream.co.kr""}}}","2025-11-09T22:06:07.109292","2026-02-26T07:07:14.481485"
"11","JATCOKOREA","","http://www.jatco.co.kr/m/main.do","","alive","2026-03-23T16:38:04.688675","200","0","","","","False","","","","","","","","","","","","","","","","2025-11-09T22:06:07.111998","2025-11-10T04:56:14.565114"
"12","알피오","","http://www.rpio.co.kr/index.php","","alive","2026-03-23T16:38:04.775978","200","0","http://www.rpio.co.kr/index.php","external","external_link","False","CONFIRMED","","","","","","","","","","","","","","","2025-11-09T22:06:07.114662","2025-11-10T04:56:14.572699"
"13","아이티벨리","","https://www.itballey.com","itballey.com","dead","2026-03-23T16:49:37.682765","0","3","https://www.itballey.com/kor/company/careers.php","listing","text","False","CONFIRMED","","","김기운","","","","","","","2024","","서울특별시 금천구 가산디지털1로 19,  7층 705호(가산동, 대륭테크노타운18차)","서울특별시","{""sources"": {""swdb_csv"": {""fin_year_raw"": ""2024"", ""last_seen_at"": ""2026-02-26T07:07:36.607853"", ""raw_homepage"": ""www.itballey.com""}}}","2025-11-09T22:06:07.116940","2026-02-26T07:07:36.607906"
"14","(주)라코어","","http://lacore.co.kr","lacore.co.kr","alive","2026-03-23T16:38:05.006354","200","0","","","","False","","","","김용산","","","","","","","2018","","경기도 성남시 분당구 판교역로 231, 705호 (삼평동, 에이치스퀘어 에스동)","경기도","{""sources"": {""swdb_csv"": {""fin_year_raw"": ""2018"", ""last_seen_at"": ""2026-02-26T07:11:27.710406"", ""raw_homepage"": ""http://lacore.co.kr""}}}","2025-11-09T22:06:07.119221","2026-02-26T07:11:27.710476"
"15","(주)이루온","","http://www.inssys.co.kr","nssys.co.kr","alive","2026-03-23T16:38:05.249814","200","0","http://www.inssys.co.kr/p/recruit","listing","text","False","CONFIRMED","","","김용남","","","","","","","2013","","서울시 종로구 진흥로 432 , 요진오피스텔쉐레이 5층 13호","서울특별시","{""sources"": {""swdb_csv"": {""fin_year_raw"": ""2013"", ""last_seen_at"": ""2026-02-26T07:13:57.849764"", ""raw_homepage"": ""http://www.nssys.co.kr""}}}","2025-11-09T22:06:07.121662","2026-02-26T07:13:57.849829"
